simplified,pinyin,trad
中国,zhōng guó,中國
北京,běi jīng,北京
上海,shàng hǎi,上海
长城,cháng chéng,長城
故宫,gù gōng,故宮
美国,měi guó,美國
纽约,niǔ yuē,紐約
华盛顿,huá shèng dùn,華盛頓
英国,yīng guó,英國
伦敦,lún dūn,倫敦
法国,fǎ guó,法國
巴黎,bā lí,巴黎
德国,dé guó,德國
柏林,bó lín,柏林
日本,rì běn,日本
东京,dōng jīng,東京
韩国,hán guó,韓國
首尔,shǒu ěr,首爾
加拿大,jiā ná dà,加拿大
多伦多,duō lún duō,多倫多
澳大利亚,ào dà lì yà,澳大利亞
悉尼,xī ní,悉尼
东方明珠,dōng fāng míng zhū,東方明珠
西湖,xī hú,西湖
兵马俑,bīng mǎ yǒng,兵馬俑
