simplified,pinyin,trad
毛泽东,máo zé dōng,毛澤東
邓小平,dèng xiǎo píng,鄧小平
孔子,kǒng zǐ,孔子
老子,lǎo zǐ,老子
秦始皇,qín shǐ huáng,秦始皇
成吉思汗,chéng jí sī hán,成吉思汗
华盛顿,huá shèng dùn,華盛頓
林肯,lín kěn,林肯
爱因斯坦,ài yīn sī tǎn,愛因斯坦
牛顿,niú dùn,牛頓
达尔文,dá ěr wén,達爾文
莎士比亚,shā shì bì yǎ,莎士比亞
达芬奇,dá fēn qí,達芬奇
贝多芬,bèi duō fèn,貝多芬
莫扎特,mò zhā tè,莫扎特
毕加索,bì jiā suǒ,畢加索
乔布斯,qiáo bù sī,喬布斯
盖茨,gài cí,蓋茨
马云,mǎ yún,馬雲
姚明,yáo míng,姚明
李小龙,lǐ xiǎo lóng,李小龍
成龙,chéng lóng,成龍
