han,pinyin
上梁不正下梁歪,shàng liáng bù zhèng xià liáng wāi
不入虎穴焉得虎子,bú rù hǔ xué yān dé hǔ zǐ
赔了夫人又折兵,péi le fū ren yòu zhé bīng
有心栽花花不长无心插柳柳成荫,yǒu xīn zāi huā huā bù zhǎng wú xīn chā liǔ liǔ chéng yīn
八字还没一撇,bā zì hái méi yì piě
有眼不识泰山,yǒu yǎn bù shí tài shān
出气筒,chū qì tǒng
八九不离十,bā jiǔ bù lí shí
无风不起浪,wú fēng bù qǐ làng
得便宜卖乖,dé pián yi mài guāi
不是省油的灯,bú shì shěng yóu de dēng
家丑不可外扬,jiā chǒu bù kě wài yáng
背黑锅,bēi hēi guō
兔子不吃窝边草,tù zi bù chī wō biān cǎo
铁饭碗,tiě fàn wǎn
冰冻三尺非一日之寒,bīng dòng sān chǐ fēi yí rì zhī hán
远亲不如近邻,yuǎn qīn bù rú jìn lín
下马威,xià mǎ wēi
天下乌鸦一般黑,tiān xià wū yā yì bān hēi
不到黄河心不死,bú dào huáng hé xīn bù sǐ
狗急了跳墙,gǒu jí le tiào qiáng
狗眼看人低,gǒu yǎn kàn rén dī
只许州官放火不许百姓点灯,zhǐ xǔ zhōu guān fàng huǒ bù xǔ bǎi xìng diǎn dēng
偷鸡摸狗,tōu jī mō gǒu
死马当活马医,sǐ mǎ dāng huó mǎ yī
新官上任三把火,xīn guān shàng rèn sān bǎ huǒ
对号入座,duì hào rù zuò
十万八千里,shí wàn bā qiān lǐ
露马脚,lòu mǎ jiǎo
公说公有理婆说婆有理,gōng shuō gōng yǒu lǐ pó shuō pó yǒu lǐ
上刀山下火海,shàng dāo shān xià huǒ hǎi
打退堂鼓,dǎ tuì táng gǔ
磨刀不误砍柴工,mó dāo bú wù kǎn chái gōng
风马牛不相及,fēng mǎ niú bù xiāng jí
一山不容二虎,yì shān bù róng èr hǔ
眼里揉不得沙子,yǎn lǐ róu bù dé shā zi
三下五除二,sān xià wǔ chú èr
泼冷水,pō lěng shuǐ
杀鸡给猴看,shā jī gěi hóu kàn
生米做成熟饭,shēng mǐ zuò chéng shú fàn
初生牛犊不怕虎,chū shēng niú dú bú pà hǔ
铁公鸡,tiě gōng jī
无事不登三宝殿,wú shì bù dēng sān bǎo diàn
马后炮,mǎ hòu pào
掉链子,diào liàn zi
纸老虎,zhǐ lǎo hǔ
狐狸精,hú li jing
丑话说在前头,chǒu huà shuō zài qián tou
半路杀出个程咬金,bàn lù shā chū gè chéng yǎo jīn
麻雀虽小五脏俱全,má què suī xiǎo wǔ zàng jù quán
虎毒不食子,hǔ dú bù shí zǐ
小不忍则乱大谋,xiǎo bù rěn zé luàn dà móu
打狗还得看主人,dǎ gǒu hái děi kàn zhǔ rén
万事俱备只欠东风,wàn shì jù bèi zhǐ qiàn dōng fēng
不管黑猫白猫会捉老鼠就是好猫,bù guǎn hēi māo bái māo huì zhuō lǎo shǔ jiù shì hǎo māo
真金不怕火炼,zhēn jīn bú pà huǒ liàn
狗改不了吃屎,gǒu gǎi bù liǎo chī shǐ
杀手锏,shā shǒu jiǎn
饥不择食,jī bù zé shí
对事不对人,duì shì bú duì rén
皮笑肉不笑,pí xiào ròu bú xiào
双刃剑,shuāng rèn jiàn
热脸贴冷屁股,rè liǎn tiē lěng pì gu
好了伤疤忘了疼,hǎo le shāng bā wàng le téng
醋坛子,cù tán zi
君子之交淡如水,jūn zǐ zhī jiāo dàn rú shuǐ
三个和尚没水吃,sān gè hé shang méi shuǐ chī
赶鸭子上架,gǎn yā zi shàng jià
小白脸,xiǎo bái liǎn
放长线钓大鱼,fàng cháng xiàn diào dà yú
依葫芦画瓢,yī hú lu huà piáo
隔墙有耳,gé qiáng yǒu ěr
巧妇难为无米之炊,qiǎo fù nán wéi wú mǐ zhī chuī
不是吃素的,bú shì chī sù de
嫁鸡随鸡嫁狗随狗,jià jī suí jī jià gǒu suí gǒu
打开天窗说亮话,dǎ kāi tiān chuāng shuō liàng huà
人算不如天算,rén suàn bù rú tiān suàn
小动作,xiǎo dòng zuò
远水解不了近渴,yuǎn shuǐ jiě bù liǎo jìn kě
占着茅坑不拉屎,zhàn zhe máo kēng bù lā shǐ
碰一鼻子灰,pèng yì bí zi huī
死猪不怕开水烫,sǐ zhū bú pà kāi shuǐ tàng
换汤不换药,huàn tāng bú huàn yào
救命稻草,jiù mìng dào cǎo
明枪易躲暗箭难防,míng qiāng yì duǒ àn jiàn nán fáng
谋事在人成事在天,móu shì zài rén chéng shì zài tiān
三个女人一台戏,sān gè nǚ rén yì tái xì
有鼻子有眼,yǒu bí zi yǒu yǎn
枪打出头鸟,qiāng dǎ chū tóu niǎo
碰钉子,pèng dīng zi
蹬鼻子上脸,dēng bí zi shàng liǎn
吃豆腐,chī dòu fu
眉毛胡子一把抓,méi mao hú zi yì bǎ zhuā
偷鸡不成反蚀把米,tōu jī bù chéng fǎn shí bǎ mǐ
众人拾柴火焰高,zhòng rén shí chái huǒ yàn gāo
快刀斩乱麻,kuài dāo zhǎn luàn má
吃软饭,chī ruǎn fàn
一着不慎满盘皆输,yì zhāo bú shèn mǎn pán jiē shū
听风就是雨,tīng fēng jiù shì yǔ
鸿门宴,hóng mén yàn
吃哑巴亏,chī yǎ ba kuī
眼中钉肉中刺,yǎn zhōng dīng ròu zhōng cì
舍不得孩子套不住狼,shě bù dé hái zi tào bú zhù láng
挂羊头卖狗肉,guà yáng tóu mài gǒu ròu
煮熟的鸭子飞了,zhǔ shú de yā zi fēi le
常在河边走哪有不湿鞋,cháng zài hé biān zǒu nǎ yǒu bù shī xié
三脚猫,sān jiǎo māo
吃闭门羹,chī bì mén gēng
三十年河东三十年河西,sān shí nián hé dōng sān shí nián hé xī
土包子,tǔ bāo zi
树大招风,shù dà zhāo fēng
酒逢知己千杯少,jiǔ féng zhī jǐ qiān bēi shǎo
当一天和尚撞一天钟,dāng yì tiān hé shang zhuàng yì tiān zhōng
是骡子是马拉出来遛遛,shì luó zi shì mǎ lā chū lai liù liu
一个鼻孔出气,yí gè bí kǒng chū qì
身在曹营心在汉,shēn zài cáo yíng xīn zài hàn
瘦死的骆驼比马大,shòu sǐ de luò tuo bǐ mǎ dà
树欲静而风不止,shù yù jìng ér fēng bù zhǐ
丑媳妇早晚也得见公婆,chǒu xí fù zǎo wǎn yě děi jiàn gōng pó
胜者王侯败者贼,shèng zhě wáng hóu bài zhě zéi
下三烂,xià sān làn
上了贼船,shàng le zéi chuán
病急乱投医,bìng jí luàn tóu yī
打如意算盘,dǎ rú yì suàn pán
龙生龙凤生凤,lóng shēng lóng fèng shēng fèng
不看僧面看佛面,bú kàn sēng miàn kàn fó miàn
雷声大雨点小,léi shēng dà yǔ diǎn xiǎo
脸红脖子粗,liǎn hóng bó zi cū
一棍子打死,yí gùn zi dǎ sǐ
拿鸡蛋碰石头,ná jī dàn pèng shí tou
没有不透风的墙,méi yǒu bú tòu fēng de qiáng
人怕出名猪怕壮,rén pà chū míng zhū pà zhuàng
山中无老虎猴子称大王,shān zhōng wú lǎo hǔ hóu zi chēng dà wáng
杀鸡焉用宰牛刀,shā jī yān yòng zǎi niú dāo
大树底下好乘凉,dà shù dǐ xià hǎo chéng liáng
跑龙套,pǎo lóng tào
七大姑八大姨,qī dà gū bā dà yí
一是一二是二,yī shì yī èr shì èr
多个朋友多条路,duō gè péng you duō tiáo lù
下台阶,xià tái jiē
打小算盘,dǎ xiǎo suàn pán
坐山观虎斗,zuò shān guān hǔ dòu
羊毛出在羊身上,yáng máo chū zài yáng shēn shang
一口吃成个胖子,yì kǒu chī chéng gè pàng zi
屋漏偏逢连阴雨,wū lòu piān féng lián yīn yǔ
老油条,lǎo yóu tiáo
捅马蜂窝,tǒng mǎ fēng wō
小意思,xiǎo yì si
倒打一耙,dào dǎ yì pá
陈芝麻烂谷子,chén zhī ma làn gǔ zi
一条龙,yì tiáo lóng
四两拨千斤,sì liǎng bō qiān jīn
前怕狼后怕虎,qián pà láng hòu pà hǔ
吃水不忘挖井人,chī shuǐ bú wàng wā jǐng rén
有仇不报非君子,yǒu chóu bú bào fēi jūn zǐ
不倒翁,bù dǎo wēng
干打雷不下雨,gàn dǎ léi bú xià yǔ
鸡飞狗跳,jī fēi gǒu tiào
事后诸葛亮,shì hòu zhū gě liàng
落水狗,luò shuǐ gǒu
板上钉钉,bǎn shàng dìng dīng
一碗水端平,yì wǎn shuǐ duān píng
烫手的山芋,tàng shǒu de shān yù
笑掉大牙,xiào diào dà yá
一回生二回熟,yì huí shēng èr huí shú
鱼与熊掌不可得兼,yú yǔ xióng zhǎng bù kě dé jiān
咸鱼翻身,xián yú fān shēn
一根绳上的蚂蚱,yì gēn shéng shàng de mà zha
趟浑水,tàng hún shuǐ
狗腿子,gǒu tuǐ zi
用在刀刃上,yòng zài dāo rèn shàng
鸡飞蛋打,jī fēi dàn dǎ
胳膊扭不过大腿,gē bo niǔ bú guò dà tuǐ
饱汉不知饿汉饥,bǎo hàn bù zhī è hàn jī
笑面虎,xiào miàn hǔ
二,èr
给力,gěi lì
母老虎,mǔ lǎo hǔ
五十步笑百步,wǔ shí bù xiào bǎi bù
门外汉,mén wài hàn
前人栽树后人乘凉,qián rén zāi shù hòu rén chéng liáng
烂泥扶不上墙,làn ní fú bú shàng qiáng
关公面前耍大刀,guān gōng miàn qián shuǎ dà dāo
高不成低不就,gāo bù chéng dī bú jiù
胳膊肘往外扭,gē bo zhǒu wǎng wài niǔ
长痛不如短痛,cháng tòng bù rú duǎn tòng
酒香不怕巷子深,jiǔ xiāng bú pà xiàng zi shēn
一条路走到黑,yì tiáo lù zǒu dào hēi
不是鱼死就是网破,bú shì yú sǐ jiù shì wǎng pò
冰山一角,bīng shān yì jiǎo
身体是革命的本钱,shēn tǐ shì gé mìng de běn qián
说风凉话,shuō fēng liáng huà
紧箍咒,jǐng gū zhòu
唱双簧,chàng shuāng huáng
开空白支票,kāi kòng bái zhī piào
保护伞,bǎo hù sǎn
一个萝卜一个坑,yí gè luó bo yí gè kēng
狗咬狗,gǒu yǎo gǒu
唱高调,chàng gāo diào
打水漂,dǎ shuǐ piāo
开小差,kāi xiǎo chāi
两面派,liǎng miàn pài
一盘散沙,yì pán sǎn shā
和稀泥,huò xī ní
敲竹杠,qiāo zhú gàng
扯后腿,chě hòu tuǐ
穿小鞋,chuān xiǎo xié
给他一点颜色看看,gěi tā yì diǎn yán sè kàn kan
天高皇帝远,tiān gāo huáng dì yuǎn
拣软柿子捏,jiǎn ruǎn shì zi niē
打马虎眼,dǎ mǎ hu yǎn
千里马,qiān lǐ mǎ
打擦边球,dǎ cā biān qiú
摸着石头过河,mō zhe shí tou guò hé
半路出家,bàn lù chū jiā
老狐狸,lǎo hú li
一窝蜂,yì wō fēng
开夜车,kāi yè chē
手心手背都是肉,shǒu xīn shǒu bèi dōu shì ròu
缩头乌龟,suō tóu wū guī
走过场,zǒu guò chǎng
做文章,zuò wén zhāng
吃大锅饭,chī dà guō fàn
戴高帽,dài gāo mào
秋后算账,qiū hòu suàn zhàng
僧多粥少,sēng duō zhōu shǎo
坐冷板凳,zuò lěng bǎn dèng
不当家不知柴米贵,bù dāng jiā bù zhī chái mǐ guì
红眼病,hóng yǎn bìng
葫芦里卖的是什么药,hú lu lǐ mài de shì shén me yào
三句话不离本行,sān jù huà bù lí běn háng
糖衣炮弹,táng yī pào dàn
树倒猢狲散,shù dǎo hú sūn sàn
硬骨头,yìng gǔ tou
二虎相争必有一伤,èr hǔ xiāng zhēng bì yǒu yì shāng
拆东墙补西墙,chāi dōng qiáng bǔ xī qiáng
大鱼吃小鱼,dà yú chī xiǎo yú
狐狸尾巴露出来了,hú li wěi ba lòu chū lái le
开绿灯,kāi lǜ dēng
歪瓜裂枣,wāi guā liè zǎo
小辫子,xiǎo biàn zi
一头雾水,yì tóu wù shuǐ
隔行如隔山,gé háng rú gé shān
一亩三分地,yì mǔ sān fēn dì
成也萧何败也萧何,chéng yě xiāo hé bài yě xiāo hé
大水冲了龙王庙,dà shuǐ chōng le lóng wáng miào
乱弹琴,luàn tán qín
挤牙膏,jǐ yá gāo
